Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Vermont Reptile and Amphibian Atlas,the Vermont Reptile and Amphibian Atlas,≤100,1
Trump News Today,El Chasqui USA Company,≤100,1
Team Favour Izoukumor 4 Okowa/ Otuaro 2019,These ads ran without a disclaimer,≤100,1
Black Kids in Outer Space,Lark Lo,≤100,1
What's Draper Up To?,Michele Weeks,≤100,1
Dear Jack - A Love Letter,4thWEB,≤100,1
North Hudson Fire Officers IAFF L3951,North Hudson Fire Officers Association IAFF L3951,≤100,1
Our Revolution Baltimore City/County,Our Revolution Baltimore City/County. This message has not been authorized or approved by any candidate.,≤100,1
Pamela Luther for Judge,Pamela Luther for Judge,≤100,1
Riverca Group Insurance,These ads ran without a disclaimer,≤100,2
Vortex Church,These ads ran without a disclaimer,≤100,1
Fayette Cares,Fayette Cares,≤100,1
One Iowa,One Iowa,≤100,1
Eddy County,Red Rocket Media,≤100,6
Geek2.0,These ads ran without a disclaimer,≤100,1
Gran Fondo NJ,These ads ran without a disclaimer,≤100,1
ReThink Energy Florida,ReThink Energy Florida,≤100,1
Politically Correct Watch,These ads ran without a disclaimer,≤100,2
Columban Center for Advocacy and Outreach,Columban Center for Advocacy and Outreach,≤100,1
Windows to My Soul,These ads ran without a disclaimer,≤100,1
The Ron & Brian Podcast,These ads ran without a disclaimer,≤100,1
PRI's The World: Livable Planet,PRI's The World,≤100,1
Dayton Watchdog,Dayton Watchdog,≤100,1
Shirt Blasters,Nicky Weinbach,≤100,1
Humble Apparel Co.,Humble LLC,≤100,1
The Bill and Kali Show,The Bill and Kali Show,≤100,1
Bluegrass Greensource,These ads ran without a disclaimer,≤100,1
Grassroots Advocacy for South Philadelphia,Grassroots Advocacy for South Philadelphia,≤100,1
California Restaurant Association,California Restaurant Association,≤100,1
Powerhouse Electric,These ads ran without a disclaimer,≤100,1
Green Party of Pima County,Green Party of Pima County,≤100,1
Northwoods Wildlife Center,Northwoods Wildlife Center,≤100,1
Texas Young Professional Democrats,antron johnson,≤100,1
Barrel State,Brandon Vincent,≤100,1
Friends of Blackwater,Thomas W. Rodd and Friends of Blackwater,≤100,1
"Tulare City Council Member Jose Sigala, District 1",Tulare Council Member Jose Sigala,≤100,1
TBReporter.com,"TB Reporter does not run political ads on Facebook. We are a news site that writes about politics. If you think this is an ad, it is not. It is a story about politics or a politician. The ads are paid for by Ragranok Group but they are not political ads. This is to comply with Facebook requirements",≤100,2
Nobody Leaves Mid-Hudson,Nobody Leaves Mid-Hudson,≤100,1
Tattooed Mom,Tattooed Mom,≤100,1
Restoring Heroes,These ads ran without a disclaimer,≤100,1
Elders Climate Action - Massachusetts Chapter,Michael Sales,≤100,1
Matt Walton,Matt Walton,≤100,1
Romulus Democratic Club,The Romulus Democratic Club,≤100,1
Pittsburgh City Paper,Pgh City Paper,≤100,1
Women Elevated; a veteran outreach program,"Friends and Supporters of Women Elevated, INC.",≤100,1
American Solidarity Party,American Solidarity Party,≤100,1
Erik Herbert -NT School Board Member,erik herbert,≤100,1
Human Rights Education Institute,These ads ran without a disclaimer,≤100,1
C&R Marketing,C&R Marketing,≤100,1
Raj Shukla for Mayor,Raj Shukla for Mayor,≤100,1
"DOVE, Inc.","DOVE, Inc.",≤100,1
Walmart Mckinney - Mckinney Ranch Pkwy,These ads ran without a disclaimer,≤100,1
Puyallup Tribe of Indians,Puyallup Tribe of Indians,≤100,1
US-Africa Network,William Minter for US-Africa Network,≤100,1
"St. Joseph County, IN","St. Joseph County, Indiana",≤100,1
Elizabeth Alcantar for Cudahy City Council 2018,Alcantar for City Council #1408871,≤100,1
The UP 500,These ads ran without a disclaimer,≤100,1
Koral,These ads ran without a disclaimer,≤100,8
"Gireud Hobbs, PLLC",These ads ran without a disclaimer,≤100,1
Nueces County Young Republicans,Nueces County Young Republicans,≤100,2
David Rosenberg - Licensed Insurance Agent,David Rosenberg,≤100,2
Kai Mark Schoneweiss,These ads ran without a disclaimer,≤100,1
Reality Bites,"Reality Bites Org, North Caorlina",≤100,1
AFSCME Maryland,AFSCME Maryland,≤100,1
Jay Michaelson,Jay Michaelson,≤100,1
JDog Junk Removal,These ads ran without a disclaimer,≤100,1
Victor Insures You,These ads ran without a disclaimer,≤100,1
RightFit Medicare Store,Tommy Charles Foust LLC,≤100,1
Race and Grace,Brave Path Media LLC,≤100,2
Carl Duplessis for City Council District 1,Committee to Elect Carl Duplessis,≤100,1
Donald Trump Is My President,Pigeon Media USA,≤100,1
Space Coast Young Republicans,Space Coast Young Republicans,≤100,1
Our Revolution Southern Oregon,Sarah Spansail,≤100,1
ShoppingGives,ShoppingGives,≤100,1
Pierre Hamet,These ads ran without a disclaimer,≤100,1
Hendricks County Democratic Party,Hendricks County Democratic Party,≤100,1
Equality Arkansas PAC,Equality Arkansas,≤100,2
Cosecha Sturgis,Movimiento Cosecha,≤100,2
Keeping Ashland Women Safe,Keeping Ashland Women Safe,≤100,1
DG Gabber - Downers Grove Community Website,DGGAB,≤100,1
Go Africa Network,Go Africa Network Inc. & Go Africa LLC,≤100,1
Poli Pix Co.,Poli Pix Co.,≤100,1
Linglestown Gazette,Linglestown Gazette,≤100,4
Seaside City Councilmember-elect Jon Wizard,Jon Wizard for City Council 2018,≤100,1
Mike Saville for Idaho,Committee to Elect Mike Saville - Havilah Workman Treasurer,≤100,1
Experience Matters with Drew Berquist,CRTV LLC,≤100,2
Aguilar Realty Group Homes,Aguilar Realty Group Homes,≤100,1
Sergio Rodriguez,Friends of Sergio,≤100,4
SeaChange,Sea Change Leadership PAC,≤100,4
One Tree Planted,These ads ran without a disclaimer,≤100,1
"Erie Cattaraugus Rail Trail, Inc.","Erie Cattaraugus Rail Trail, Inc.",≤100,1
No Water No Life,No Water No Life,≤100,1
Jun Mezilus,"Junior Mezilus at Jun Et Aaliyah Multi Services, a sole proprietorship for profit organization dedicated to provide full or partial scholarships and employment to poor people in Haiti and to assist elderly and Haitian communities in my neighborhood in Jefferson Parish, LA. Not affiliated with any government agency, facebook, and any other social media site.",≤100,3
InMaricopa,InMaricopa Media and News Organization,≤100,2
BlackParr Apparel LLC.,BlackParr Apparel LLC.,≤100,1
Judi Reiss Prothonotary,Judi Jackson Reiss,≤100,1
Transgender Visibility & Education Network,Transgender Visibility & Education Network,≤100,1
Rhode Island Advocacy for Children,These ads ran without a disclaimer,≤100,1
Safe Reach Vehicle Wallet,Safe Reach Vehicle Wallet,≤100,1
Senator Martin A. Sandoval,Friends of Martin A. Sandoval,≤100,2
eScrip,These ads ran without a disclaimer,≤100,1
College Promise Campaign,Civic Nation,≤100,1
Lee Ann Turner,The Committee to Elect Lee Ann Turner (Approved by Lee Ann Turner),≤100,1
Wear25,These ads ran without a disclaimer,≤100,2
Internet Freedom for McHenry County,Internet Freedom for McHenry County,≤100,1
Symmetry Services LLC,"Symmetry Services LLC.  The information on this page is provided for general educational purposes only and may not reflect changes in federal or state laws. Before taking any action based on this information, we strongly encourage you to consult with a professional accounting advisor about your specific situation.",≤100,1
Florida Policy Institute,Florida Policy Institute,≤100,1
Hippy Feet,These ads ran without a disclaimer,≤100,1
Protect the Equestrian Preserve,These ads ran without a disclaimer,≤100,1
Neverthirst,These ads ran without a disclaimer,≤100,1
Police Reform Now,Police Reform Now,≤100,1
Millbury Old Time Inn,These ads ran without a disclaimer,≤100,1
The Neighborhood Well,These ads ran without a disclaimer,≤100,1
Joseph W Crown,These ads ran without a disclaimer,≤100,1
Representative Joey Hood,Joey Hood,≤100,1
Pool Fence DIY,These ads ran without a disclaimer,≤100,2
Barre City Energy Committee - BCEC,These ads ran without a disclaimer,≤100,1
The Richmond/Ermet Aid Foundation - REAF,These ads ran without a disclaimer,≤100,1
Kittitas Conservation Trust,Kittitas Conservation Trust,≤100,1
Progressive Cheverly,Progressive Cheverly,≤100,1
Montana Healthcare Foundation,Montana Healthcare Foundation,≤100,1
Fair Districts PA - Philadelphia,Fair Districts PA,≤100,1
Sunshine CFC,the Sunshine CFC,≤100,1
Historical Society of the NY Courts,Historical Society of the New York Courts,≤100,1
Help Save the Elephants,We Love Elephants,≤100,1
NAPAbroadcasting.com,NAPAbroadcasting,≤100,2
Fine Political Items,Fine Political Items,≤100,3
The Open Table KC,These ads ran without a disclaimer,≤100,1
Muslims For Democracy and Fairness - MDF,"MDF Tampa Bay, 10730 N 56th St, 2nd, Temple Terrace, FL 33617",≤100,2
Innovation Ohio,Innovation Ohio,≤100,1
Women's Lobby of Colorado,Women's Lobby of Colorado,≤100,2
Route 1 Reporter,Route 1 Reporter,≤100,1
Nearlist,These ads ran without a disclaimer,≤100,1
Petland USA,Petland USA,≤100,2
Hall County Democratic Party,Hall County Democrats,≤100,1
Personal Paper Hugs,These ads ran without a disclaimer,≤100,1
"Berkeley, CA Local",These ads ran without a disclaimer,≤100,4
"Terrell Barnes, Roselle Public Library District Trustee",Friends of Terrell Barnes,≤100,1
LareDOS Newspaper,LareDOS News,≤100,2
Champaign County Health Care Consumers,Champaign County Health Care Consumers,≤100,1
Craig Kinsley Insurance,Craig Kinsley Insurance,≤100,1
Michigan Campaign Finance Network,The Michigan Campaign Finance Network,≤100,1
Silver Empire,Silver Empire Publishing,≤100,1
Andrew LaBruno Councilman of Dumont,LaBruno for Dumont,≤100,1
Third Factor,Third Factor,≤100,1
Joseph's Deli,WJMH Enterprises Inc.,≤100,2
Clearwater Project,The Sanitation Districts of LA County,≤100,2
Rep. Chris Sainato,PA House Democratic Caucus,≤100,1
Love Lakeland,Love Lakeland,≤100,1
Direct Support for Immigrants,Direct Support for Immigrants,≤100,1
Mesothelioma: Take A Stand,These ads ran without a disclaimer,≤100,1
Intrepid Fallen Heroes Fund,Intrepid Fallen Heroes Fund,≤100,3
Twenty-two Twenty-eight,Twenty-two Twenty-eight,≤100,2
United Country Real Estate H5 Auction & Realty,These ads ran without a disclaimer,≤100,1
Focus Mid-South,Focus Mid-South,≤100,1
The Hate Club,The Hate Club,≤100,8
New Life Christian Fellowship of North MS,These ads ran without a disclaimer,≤100,1
Terra Genesis International,Terra Genesis International,≤100,1
Life Back Medical,These ads ran without a disclaimer,≤100,1
Border Kindness,Border Kindness,≤100,1
Majority Lost,Majority Lost,≤100,1
Leave No Trace - Arkansas,These ads ran without a disclaimer,≤100,1
Oregon Food Bank,Oregon Food Bank,≤100,1
Abigail George,These ads ran without a disclaimer,≤100,2
Advocate Against Romance Scams,Advocating Against Romance Scams,≤100,1
TIRRC Members/Miembros de TIRRC,Tirrc Members,≤100,1
Corky Smith for Lowndes County,Corky Smith,≤100,1
Meaningful Autistic Resources for Kids,Meaningful Autistic Resources for Kids,≤100,1
Oregon Hunters Association - Yamhill County,These ads ran without a disclaimer,≤100,1
Buffalo River Watershed Alliance,Buffalo River Watershed Alliance,≤100,3
All Politics Is L̶o̶c̶o̶  Local,X Teri,≤100,1
Lewis County Republicans,"Ruth Peterson, Boistfort PCO",≤100,1
Friends of the San Juans,Friends of the San Juans,≤100,1
Hoover Institution,These ads ran without a disclaimer,≤100,9
Homebuyer Edu - by Kyle Bergquist & PRMI Seattle,Kyle Bergquist and PRMI Seattle,≤100,2
Rocket City Young Democrats,Rocket City Young Democrats,≤100,1
"SOS - The Raymond Rountree Jr. Foundation, Inc.",These ads ran without a disclaimer,≤100,2
Sweet Blossoms,Sweet Blossoms,≤100,1
J.R. Hoeft,The J.R. Hoeft Show,≤100,1
Tedd Hardy,Tedd Hardy Collection,≤100,1
"New Day, New Deal","New Day, New Deal (progressive apparel)",≤100,2
Parklane Pharmacy,These ads ran without a disclaimer,≤100,1
Shanell Williams for District 5 Supervisor,Shanell Williams for District 5 Supervisor 2019 FPPC# 1411660,≤100,1
LittleSis,Public Accountability Initiative,≤100,1
O'Donnell Gallery,These ads ran without a disclaimer,≤100,1
Warsaw community,warsaw community a grass roots citizen movement page,≤100,1
Foot's Apparel,These ads ran without a disclaimer,≤100,1
Negsyx Technology INC.,These ads ran without a disclaimer,≤100,2
Alex Acevedo,Citizens for Alex Acevedo,≤100,1
"James J. Lombardi III, North Smithfield School Committee Chairman",Committee to Elect James J Lombardi III,≤100,1
Ellen Plumb's City Bookstore,These ads ran without a disclaimer,≤100,1
Jose Luis Torrez for 14th Ward Alderman,Jose for Change,≤100,1
OCA - Asian Pacific American Advocates,OCA-Asian Pacific American Advocates,≤100,1
Rags On Me,Rags On Me,≤100,1
Santa Rosa County District One,Commissioner Sam Parker,≤100,1
United States of OMG,These ads ran without a disclaimer,≤100,3
Hip Hop Fashions,These ads ran without a disclaimer,≤100,1
Warren Lewis Sotheby's International Realty,These ads ran without a disclaimer,≤100,1
BENCH BLOKZ,These ads ran without a disclaimer,≤100,1
Urbanized,Urbanized,≤100,5
Trumpiness,Trumpiness Cult 45,≤100,2
Food Pantry And Thrift Store Of Tellico Plains,These ads ran without a disclaimer,≤100,1
Webster Eye Care Associates,Webster Eye Care Associates,≤100,2
The POWER of FAITH Foundation,These ads ran without a disclaimer,≤100,1
Rasputin's Liver,Rasputin's Liver,≤100,1
Oceans 360,"Lions of Gir Foundation, Inc.",≤100,1
Wellness Works Group,Wellness Works Group,≤100,1
ARISE Project For Humanity,These ads ran without a disclaimer,≤100,1
Emergency Disaster Recovery Inc. ᵀᴹ,These ads ran without a disclaimer,≤100,1
Live Green Real Estate Inc,Live Green Real Estate,≤100,1
Roth Davies Trial Lawyers.,"Roth Davies, LLC.",≤100,1
Brad Spurgeon Insurance Agency Inc.,These ads ran without a disclaimer,≤100,5
CAIR Central California,CAIR Central California,≤100,1
Arizona Citizens for the Arts,Arizona Citizens for the Arts,≤100,1
"ClearStream Recycling, Inc.",These ads ran without a disclaimer,≤100,1
Mayor Thomas Broderick,Thomas Broderick for Mayor,≤100,1
Jessica Catron,"Catron for Missouri, Rick Catron, Treasurer",≤100,1
Charlotte Caldwell,These ads ran without a disclaimer,≤100,1
ListJar,Eric at ListJar,≤100,1
NY/CT Association of Tax Professionals,"NY/CT Association of Tax Professionals, Inc",≤100,1
The Pragmatic Libertarian,The Pragmatic Libertarian,≤100,2
Barone for Congress,Roger Barone For Congress Principal Campaign Committee,≤100,1
Friends Of Steve Johnson,"Friends of Steve Johnson, Julie Johnson Treasurer",≤100,1
Persistiny,Persistiny,≤100,1
Jake Auchincloss,CTE Jacob Auchincloss,≤100,1
Mayor George Flaggs Jr.,the City of Vicksburg,≤100,1
Swag Kitten,These ads ran without a disclaimer,≤100,5
New Woodbridge,These ads ran without a disclaimer,≤100,1
Congressman Dan Kildee,These ads ran without a disclaimer,≤100,1
AKC Weekly Winners,These ads ran without a disclaimer,≤100,1
Good Earth Air Conditioning and Heating Services LLC,These ads ran without a disclaimer,≤100,1
"Wayne County, Michigan",Wayne County,≤100,1
American Heart Association of Hawaii,These ads ran without a disclaimer,≤100,1
Projet Gorille Fernan-Vaz,These ads ran without a disclaimer,≤100,2
The Original Poop Bags,The Original Poop Bags®,≤100,1
Nectar's,These ads ran without a disclaimer,≤100,1
Every Child Matters in Iowa,Every Child Matters in Iowa,≤100,1
Occupy Dims,Occupy,≤100,2
"Julie Ann Nitsch, Trustee",Julie for ACC. Campaign Treasurer Samantha Davis,≤100,1
Vote for Medini,Friends of Marcello Medini,≤100,2
College Republicans at UCI,Kimo Gandall,≤100,1
Mike Hein,Friends of Mike Hein,≤100,1
Denbigh Warwick Business Association,These ads ran without a disclaimer,≤100,1
Tom Whatley,Friends of Tom Whatley for State Senate,≤100,2
The Word By Namdoog Kir,Rik Goodman,≤100,1
Zuya Wohitika Oyate,These ads ran without a disclaimer,≤100,1
Delco Feminist,Delco Feminist,≤100,1
ArtsGeorgia,These ads ran without a disclaimer,≤100,1
Amvets ga 9,These ads ran without a disclaimer,≤100,1
St. Pete Heights Neighborhood Association,St. Pete Heights Neighborhood Association,≤100,1
Common Sense Policy Roundtable,Common Sense Policy Roundtable,≤100,1
The Bottom Line: Kentucky Political News,Kentucky Chamber of Commerce,≤100,1
Liberal Drivel,Liberal Drivel,≤100,1
Hugh Hewitt,Job Creators Network (“JCN”),≤100,1
ACLU MD Education,American Civil Liberties Union of Maryland,≤100,1
